Age,Gender,Income_Level,Product_Category,Ad_Interaction,Discount_Offered in(%),TPP in Past,Purchase
56,Female,High,Car,Yes,19,14,Yes
25,Male,Low,Beauty Products,Yes,28,6,Yes
36,Male,Low,Designer items,Yes,22,10,No
28,Male,High,Electronics,Yes,23,3,Yes
57,Female,High,Designer items,Yes,23,2,Yes
39,Male,High,Groceries,Yes,20,1,Yes
41,Female,High,Beauty Products,No,11,5,No
19,Male,Low,Electronics,Yes,27,0,No
29,Male,Medium,Groceries,No,25,11,Yes
42,Male,Medium,Groceries,No,16,9,No
45,Female,Medium,Electronics,Yes,27,15,Yes
32,Male,Medium,Car,Yes,29,14,Yes
20,Male,Low,Groceries,No,4,18,No
24,Male,High,Designer items,No,20,8,Yes
56,Female,Low,Beauty Products,Yes,17,3,Yes
42,Male,High,Electronics,Yes,27,13,Yes
26,Female,Medium,Groceries,No,25,1,Yes
37,Female,Low,Designer items,Yes,27,14,Yes
24,Female,Low,Designer items,Yes,11,7,No
52,Female,Medium,Electronics,No,13,16,No
53,Female,Low,Car,No,17,7,Yes
21,Female,Low,Designer items,Yes,1,5,No
59,Male,High,Beauty Products,Yes,3,17,Yes
43,Male,High,Beauty Products,Yes,11,1,No
27,Male,Medium,Beauty Products,Yes,29,3,Yes
31,Female,Low,Groceries,Yes,30,15,Yes
32,Male,Medium,Car,No,7,13,No
40,Male,High,Beauty Products,Yes,27,7,Yes
38,Female,Medium,Groceries,No,15,12,No
35,Female,High,Designer items,Yes,14,12,Yes
58,Female,Medium,Beauty Products,Yes,28,14,Yes
18,Male,Low,Beauty Products,Yes,24,6,Yes
26,Male,High,Car,Yes,23,0,Yes
25,Male,Medium,Beauty Products,Yes,23,10,Yes
34,Female,Medium,Beauty Products,Yes,7,2,Yes
52,Male,Medium,Car,No,0,4,No
59,Male,Medium,Car,Yes,6,8,No
45,Male,High,Car,Yes,6,8,No
25,Female,Low,Designer items,Yes,11,1,No
50,Male,Low,Beauty Products,Yes,15,4,No
52,Male,High,Car,Yes,11,7,Yes
39,Male,Low,Electronics,Yes,26,2,Yes
18,Female,Low,Electronics,Yes,2,4,No
31,Female,High,Beauty Products,Yes,2,0,Yes
22,Male,High,Beauty Products,No,25,13,Yes
56,Male,Medium,Beauty Products,Yes,26,8,Yes
32,Male,High,Car,No,14,9,Yes
30,Male,Low,Beauty Products,Yes,18,6,Yes
49,Female,Low,Beauty Products,No,3,4,Yes
40,Female,High,Designer items,Yes,6,12,Yes
32,Male,Low,Groceries,Yes,10,3,Yes
30,Male,Medium,Car,Yes,6,18,No
39,Male,Low,Groceries,No,27,1,Yes
59,Female,Low,Beauty Products,No,12,5,No
45,Female,High,Car,No,27,11,Yes
37,Male,High,Groceries,No,29,10,Yes
45,Male,Low,Groceries,No,24,6,Yes
50,Female,High,Groceries,Yes,0,19,No
30,Female,Low,Electronics,Yes,8,2,Yes
56,Male,Low,Groceries,No,5,7,Yes
44,Male,Medium,Car,Yes,8,4,No
50,Male,High,Beauty Products,No,18,9,Yes
41,Male,Low,Designer items,Yes,14,8,No
29,Female,High,Car,Yes,29,6,Yes
19,Female,Low,Beauty Products,No,2,16,Yes
54,Male,High,Designer items,No,16,16,Yes
19,Male,Medium,Car,No,1,4,No
49,Female,High,Designer items,Yes,0,0,No
36,Female,Medium,Car,Yes,29,1,No
43,Male,Medium,Groceries,Yes,5,3,No
28,Male,Medium,Groceries,No,23,16,Yes
55,Female,High,Electronics,No,23,4,Yes
51,Female,High,Designer items,Yes,5,10,Yes
33,Female,Medium,Groceries,No,0,8,Yes
23,Male,Medium,Beauty Products,Yes,15,2,No
37,Male,Low,Beauty Products,Yes,27,3,Yes
36,Female,Medium,Groceries,No,25,2,Yes
36,Female,High,Beauty Products,No,19,6,Yes
58,Male,High,Beauty Products,Yes,0,7,No
56,Female,Medium,Designer items,Yes,17,7,No
18,Female,Low,Designer items,No,10,17,No
40,Female,Medium,Electronics,No,30,9,Yes
52,Male,High,Designer items,Yes,6,15,Yes
43,Male,High,Car,No,15,19,Yes
19,Male,Low,Car,Yes,0,15,No
29,Female,High,Car,Yes,4,4,No
49,Female,Low,Electronics,Yes,26,8,Yes
58,Female,High,Car,Yes,2,18,No
33,Male,Medium,Electronics,Yes,2,19,No
41,Female,Low,Designer items,No,21,0,No
41,Female,Medium,Electronics,No,19,10,Yes
25,Female,High,Electronics,Yes,3,5,Yes
57,Female,High,Beauty Products,No,19,2,Yes
42,Male,Low,Groceries,Yes,2,17,Yes
35,Male,Medium,Designer items,Yes,1,2,No
33,Female,High,Car,Yes,28,8,Yes
53,Female,Medium,Designer items,Yes,0,3,No
50,Female,High,Car,Yes,13,15,No
37,Female,Low,Electronics,Yes,23,7,No
24,Female,High,Designer items,Yes,2,16,Yes
50,Female,Low,Groceries,No,15,11,No
39,Male,High,Beauty Products,No,22,13,Yes
47,Female,High,Car,Yes,5,5,No
25,Female,Low,Electronics,Yes,26,1,Yes
38,Female,High,Electronics,No,29,0,No
45,Female,Medium,Car,Yes,14,0,No
22,Male,High,Groceries,No,27,15,Yes
36,Male,Medium,Car,Yes,3,2,Yes
34,Female,Low,Designer items,No,11,13,No
23,Female,Low,Groceries,Yes,2,8,Yes
54,Male,High,Car,No,23,16,Yes
48,Female,Low,Groceries,Yes,2,0,No
38,Male,Low,Designer items,No,22,0,No
20,Male,Medium,Car,Yes,17,9,Yes
48,Female,Medium,Beauty Products,Yes,21,2,Yes
57,Female,Medium,Electronics,No,13,17,No
49,Male,High,Electronics,No,14,1,No
44,Female,Medium,Beauty Products,Yes,9,1,No
43,Male,Medium,Groceries,No,16,7,Yes
50,Female,High,Designer items,Yes,8,10,Yes
56,Female,Medium,Electronics,Yes,28,9,Yes
43,Female,High,Groceries,No,2,17,No
42,Male,Medium,Car,Yes,23,12,No
24,Female,Medium,Designer items,No,24,3,No
37,Female,High,Car,Yes,0,7,No
33,Female,Medium,Beauty Products,Yes,13,11,Yes
40,Female,Medium,Beauty Products,Yes,14,1,Yes
19,Male,Low,Designer items,No,22,18,No
42,Male,High,Designer items,Yes,25,16,Yes
59,Female,High,Beauty Products,No,5,14,No
54,Male,Medium,Groceries,Yes,0,7,Yes
22,Male,Low,Car,Yes,6,3,No
23,Male,Low,Electronics,No,12,19,No
47,Female,Medium,Electronics,Yes,14,2,Yes
57,Male,High,Electronics,No,19,15,Yes
30,Male,Low,Car,Yes,17,9,No
47,Male,Medium,Designer items,Yes,18,16,Yes
36,Male,Medium,Beauty Products,No,27,4,Yes
43,Female,High,Groceries,Yes,20,8,Yes
29,Male,Medium,Car,No,20,0,No
18,Male,Low,Designer items,Yes,14,1,Yes
49,Female,Medium,Beauty Products,Yes,29,15,Yes
42,Male,High,Electronics,No,7,12,No
18,Male,Medium,Beauty Products,Yes,15,6,Yes
22,Male,Medium,Groceries,Yes,21,2,Yes
29,Female,Medium,Beauty Products,Yes,25,15,Yes
54,Female,Medium,Electronics,Yes,21,13,Yes
45,Female,Low,Car,No,4,14,No
47,Male,Low,Designer items,No,13,19,No
22,Male,Low,Car,Yes,11,15,No
43,Female,High,Designer items,No,25,15,Yes
38,Female,Low,Groceries,Yes,6,3,No
50,Female,High,Groceries,No,29,4,Yes
40,Male,High,Beauty Products,Yes,25,9,Yes
22,Male,Low,Electronics,No,3,1,No
48,Female,Medium,Designer items,No,9,18,Yes
49,Male,Medium,Car,Yes,0,4,Yes
21,Male,Low,Electronics,Yes,15,15,No
19,Female,Medium,Designer items,Yes,16,19,Yes
41,Female,Low,Car,No,11,17,No
52,Female,Low,Groceries,Yes,27,0,Yes
50,Male,Medium,Electronics,Yes,28,18,No
54,Male,Medium,Designer items,Yes,11,2,No
18,Female,Low,Beauty Products,No,0,7,Yes
27,Female,Low,Beauty Products,No,10,11,Yes
46,Female,Medium,Groceries,Yes,12,11,Yes
48,Female,Low,Designer items,Yes,13,1,No
52,Female,Low,Electronics,Yes,22,16,No
43,Female,High,Designer items,No,7,9,Yes
43,Male,High,Groceries,No,29,1,Yes
58,Male,Medium,Electronics,No,6,3,Yes
28,Male,Medium,Designer items,Yes,28,3,No
42,Male,Medium,Electronics,No,20,3,No
