Age,Gender,Income_Level,Product_Category,Ad_Interaction,Discount_Offered in(%),TPP in Past,Purchase
25,Male,High,Electronics,Yes,20,5,Yes
34,Female,Medium,Designer items,No,0,3,No
45,Male,Low,Car,Yes,10,10,Yes
29,Female,High,Beauty Products,No,15,4,No
37,Male,Medium,Electronics,Yes,5,8,Yes
23,Female,Low,Groceries,Yes,25,12,Yes
50,Male,High,Car,No,0,7,No
31,Female,Medium,Designer items,Yes,30,6,Yes
40,Male,Low,Groceries,No,10,2,No
28,Female,High,Beauty Products,Yes,20,9,Yes
21,Female,Low,Electronics,Yes,25,14,Yes
62,Male,High,Car,No,0,18,No
33,Female,Medium,Beauty Products,Yes,10,5,Yes
55,Female,High,Designer items,Yes,30,15,Yes
48,Male,Medium,Electronics,No,5,8,No
19,Male,Low,Groceries,Yes,20,21,Yes
26,Female,High,Car,No,15,3,No
39,Male,Medium,Groceries,Yes,10,9,Yes
42,Female,High,Beauty Products,No,0,6,No
60,Male,Low,Electronics,Yes,25,11,Yes
31,Male,Medium,Designer items,Yes,5,4,No
24,Female,High,Groceries,No,0,8,Yes
47,Female,Low,Car,Yes,10,16,Yes
36,Male,High,Electronics,Yes,20,7,Yes
51,Male,Medium,Beauty Products,No,15,10,No
29,Female,Low,Designer items,Yes,30,13,Yes
43,Female,Medium,Groceries,No,5,2,No
20,Male,High,Electronics,Yes,25,19,Yes
65,Female,Low,Beauty Products,No,0,22,No
34,Male,High,Car,Yes,10,8,Yes
49,Female,Medium,Electronics,Yes,20,5,No
27,Male,High,Designer items,No,15,11,Yes
38,Female,Low,Groceries,Yes,10,17,Yes
54,Male,High,Car,No,30,6,No
22,Female,Medium,Beauty Products,Yes,5,14,Yes
44,Male,Low,Electronics,No,0,2,No
35,Female,High,Designer items,Yes,25,9,Yes
58,Male,Medium,Groceries,Yes,20,13,No
21,Male,Low,Car,No,10,20,Yes
30,Female,High,Electronics,Yes,15,8,Yes
46,Female,Medium,Beauty Products,No,0,4,No
28,Male,High,Designer items,Yes,30,10,Yes
52,Male,Low,Groceries,Yes,5,24,No
32,Female,High,Electronics,No,10,11,Yes
61,Female,Medium,Car,Yes,25,15,Yes
41,Male,High,Beauty Products,Yes,20,7,No
19,Female,Low,Designer items,No,15,19,No
26,Male,Medium,Groceries,Yes,10,13,Yes
48,Male,High,Electronics,Yes,0,9,Yes
33,Female,Low,Car,No,30,18,No
37,Female,Medium,Beauty Products,Yes,5,8,Yes
23,Male,High,Designer items,Yes,25,15,Yes
50,Female,Medium,Groceries,No,10,6,No
40,Male,High,Electronics,Yes,20,10,Yes
